Campo,Formato,Ejemplo,Valor por defecto o respuesta,,,,,
07/08/2020,desc 265,ARS,116,Gasto,Verdadero,Transporte,sube,nota 265
09/09/2021,desc 266,ARS,719,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 266
03/04/2022,desc 267,USD,13,Gasto,,Recreación,,nota 267
20/06/2020,desc 268,ARS,136,Gasto,Verdadero,Deporte,,nota 268
28/07/2021,desc 269,ARS,622,Gasto,Falso,Vivienda,reparaciones,nota 269
12/06/2020,desc 270,ARS,180,Gasto,,Belleza,peluquero; manicura,nota 270
14/01/2022,desc 271,ARS,465,Gasto,Verdadero,Educación,universidad; postgrado,nota 271
23/05/2021,desc 272,USD,672,Gasto,Falso,Vehículo,mecanico,nota 272
27/06/2020,desc 273,ARS,197,Ingreso,Falso,Transporte,sube,nota 273
08/03/2021,desc 274,ARS,674,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 274
15/10/2022,desc 275,ARS,790,Gasto,Falso,Recreación,,nota 275
06/03/2022,desc 276,ARS,785,Gasto,Verdadero,Deporte,,nota 276
22/09/2020,desc 277,ARS,132,Gasto,,Vivienda,reparaciones,nota 277
06/10/2022,desc 278,ARS,374,Gasto,Verdadero,Belleza,peluquero; manicura,nota 278
20/07/2022,desc 279,ARS,431,Gasto,Verdadero,Educación,universidad; postgrado,nota 279
25/10/2022,desc 280,USD,515,Ingreso,Verdadero,Vehículo,mecanico,nota 280
08/06/2021,desc 281,ARS,173,Gasto,Falso,Transporte,sube,nota 281
08/12/2021,desc 282,ARS,736,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 282
22/03/2022,desc 283,ARS,980,Gasto,Falso,Recreación,,nota 283
11/04/2021,desc 284,ARS,520,Gasto,,Deporte,,nota 284
02/04/2021,desc 285,USD,462,Gasto,Verdadero,Vivienda,reparaciones,nota 285
24/01/2022,desc 286,ARS,397,Gasto,Falso,Belleza,peluquero; manicura,nota 286
14/04/2020,desc 287,ARS,770,Ingreso,,Educación,universidad; postgrado,nota 287
01/05/2020,desc 288,ARS,784,Gasto,Verdadero,Vehículo,mecanico,nota 288
07/08/2022,desc 289,ARS,584,Gasto,Falso,Transporte,sube,nota 289
02/02/2022,desc 290,ARS,18,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 290
21/11/2020,desc 291,ARS,928,Gasto,Verdadero,Recreación,,nota 291
27/01/2022,desc 292,ARS,213,Gasto,Falso,Deporte,,nota 292
24/10/2021,desc 293,USD,587,Gasto,Verdadero,Vivienda,reparaciones,nota 293
20/09/2022,desc 294,ARS,266,Ingreso,,Belleza,peluquero; manicura,nota 294
18/04/2021,desc 295,ARS,700,Gasto,Falso,Educación,universidad; postgrado,nota 295
11/07/2021,desc 296,ARS,916,Gasto,Verdadero,Vehículo,mecanico,nota 296
22/12/2020,desc 297,ARS,73,Gasto,,Transporte,sube,nota 297
03/08/2021,desc 298,USD,935,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 298
10/08/2020,desc 299,ARS,902,Gasto,Verdadero,Recreación,,nota 299
26/01/2020,desc 300,ARS,183,Gasto,Falso,Deporte,,nota 300
04/04/2020,desc 301,ARS,521,Ingreso,,Vivienda,reparaciones,nota 301
23/04/2021,desc 302,ARS,132,Gasto,Verdadero,Belleza,peluquero; manicura,nota 302
07/01/2022,desc 303,ARS,633,Gasto,Falso,Educación,universidad; postgrado,nota 303
12/10/2022,desc 304,ARS,973,Gasto,,Vehículo,mecanico,nota 304
21/08/2022,desc 305,ARS,790,Gasto,Verdadero,Transporte,sube,nota 305
17/05/2021,desc 306,USD,344,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 306
03/01/2020,desc 307,ARS,973,Gasto,Falso,Recreación,,nota 307
12/08/2021,desc 308,ARS,996,Ingreso,Verdadero,Deporte,,nota 308
11/08/2021,desc 309,ARS,352,Gasto,Falso,Vivienda,reparaciones,nota 309
23/06/2021,desc 310,ARS,145,Gasto,Verdadero,Belleza,peluquero; manicura,nota 310
13/08/2022,desc 311,USD,249,Gasto,,Educación,universidad; postgrado,nota 311
12/10/2020,desc 312,ARS,352,Gasto,Verdadero,Vehículo,mecanico,nota 312
04/10/2020,desc 313,ARS,203,Gasto,Verdadero,Transporte,sube,nota 313
18/04/2021,desc 314,ARS,314,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 314
24/06/2021,desc 315,ARS,585,Ingreso,Falso,Recreación,,nota 315
23/10/2022,desc 316,ARS,22,Gasto,Verdadero,Deporte,,nota 316
24/11/2021,desc 317,ARS,511,Gasto,Falso,Vivienda,reparaciones,nota 317
28/09/2020,desc 318,ARS,92,Gasto,,Belleza,peluquero; manicura,nota 318
16/04/2020,desc 319,USD,886,Gasto,Verdadero,Educación,universidad; postgrado,nota 319
23/12/2022,desc 320,ARS,427,Gasto,Falso,Vehículo,mecanico,nota 320
17/03/2021,desc 321,ARS,47,Gasto,,Transporte,sube,nota 321
03/07/2021,desc 322,ARS,394,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 322
24/08/2021,desc 323,ARS,105,Gasto,Falso,Recreación,,nota 323
01/11/2022,desc 324,USD,694,Gasto,Falso,Deporte,,nota 324
02/08/2020,desc 325,ARS,135,Gasto,Verdadero,Vivienda,reparaciones,nota 325
11/03/2022,desc 326,ARS,831,Gasto,Falso,Belleza,peluquero; manicura,nota 326
18/10/2022,desc 327,ARS,632,Gasto,Verdadero,Educación,universidad; postgrado,nota 327
11/04/2021,desc 328,ARS,223,Gasto,,Vehículo,mecanico,nota 328
28/04/2021,desc 329,ARS,366,Ingreso,Falso,Transporte,sube,nota 329
18/07/2020,desc 330,ARS,517,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 330
03/12/2021,desc 331,ARS,887,Gasto,,Recreación,,nota 331
06/03/2021,desc 332,USD,663,Gasto,Falso,Deporte,,nota 332
06/12/2021,desc 333,ARS,608,Gasto,Verdadero,Vivienda,reparaciones,nota 333
10/02/2021,desc 334,ARS,764,Gasto,Falso,Belleza,peluquero; manicura,nota 334
11/10/2021,desc 335,ARS,801,Gasto,,Educación,universidad; postgrado,nota 335
04/02/2020,desc 336,ARS,408,Ingreso,Verdadero,Vehículo,mecanico,nota 336
17/01/2020,desc 337,USD,894,Gasto,Falso,Transporte,sube,nota 337
26/05/2022,desc 338,ARS,926,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 338
11/07/2022,desc 339,ARS,625,Gasto,Verdadero,Recreación,,nota 339
14/01/2021,desc 340,ARS,284,Gasto,Falso,Deporte,,nota 340
22/04/2021,desc 341,ARS,639,Gasto,Falso,Vivienda,reparaciones,nota 341
09/11/2020,desc 342,ARS,864,Gasto,Verdadero,Belleza,peluquero; manicura,nota 342
17/01/2020,desc 343,ARS,685,Ingreso,Falso,Educación,universidad; postgrado,nota 343
01/03/2022,desc 344,ARS,199,Gasto,Verdadero,Vehículo,mecanico,nota 344
03/07/2022,desc 345,USD,229,Gasto,,Transporte,sube,nota 345
16/08/2022,desc 346,ARS,726,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 346
14/06/2020,desc 347,ARS,46,Gasto,Verdadero,Recreación,,nota 347
13/02/2020,desc 348,ARS,130,Gasto,Verdadero,Deporte,,nota 348
14/09/2020,desc 349,ARS,468,Gasto,Falso,Vivienda,reparaciones,nota 349
12/02/2020,desc 350,USD,986,Ingreso,Verdadero,Belleza,peluquero; manicura,nota 350
25/03/2021,desc 351,ARS,749,Gasto,Falso,Educación,universidad; postgrado,nota 351
01/09/2020,desc 352,ARS,971,Gasto,,Vehículo,mecanico,nota 352
04/03/2021,desc 353,ARS,530,Gasto,Verdadero,Transporte,sube,nota 353
02/06/2020,desc 354,ARS,976,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 354
01/05/2020,desc 355,ARS,216,Gasto,,Recreación,,nota 355
13/07/2022,desc 356,ARS,471,Gasto,Verdadero,Deporte,,nota 356
03/08/2020,desc 357,ARS,48,Ingreso,Falso,Vivienda,reparaciones,nota 357
13/12/2020,desc 358,USD,501,Gasto,Falso,Belleza,peluquero; manicura,nota 358
02/05/2021,desc 359,ARS,684,Gasto,Verdadero,Educación,universidad; postgrado,nota 359
05/12/2020,desc 360,ARS,654,Gasto,Falso,Vehículo,mecanico,nota 360
22/08/2020,desc 361,ARS,714,Gasto,Verdadero,Transporte,sube,nota 361
03/09/2021,desc 362,ARS,413,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 362
28/01/2021,desc 363,USD,1,Gasto,Falso,Recreación,,nota 363
06/07/2021,desc 364,ARS,917,Ingreso,Verdadero,Deporte,,nota 364
17/07/2020,desc 365,ARS,307,Gasto,,Vivienda,reparaciones,nota 365
22/10/2020,desc 366,ARS,476,Gasto,Falso,Belleza,peluquero; manicura,nota 366
16/06/2021,desc 367,ARS,971,Gasto,Verdadero,Educación,universidad; postgrado,nota 367
04/05/2020,desc 368,ARS,224,Gasto,Falso,Vehículo,mecanico,nota 368
21/10/2020,desc 369,ARS,364,Gasto,,Transporte,sube,nota 369
25/09/2022,desc 370,ARS,217,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 370
01/04/2022,desc 371,USD,460,Ingreso,Falso,Recreación,,nota 371
20/03/2021,desc 372,ARS,654,Gasto,,Deporte,,nota 372
23/06/2022,desc 373,ARS,826,Gasto,Verdadero,Vivienda,reparaciones,nota 373
22/04/2022,desc 374,ARS,922,Gasto,Falso,Belleza,peluquero; manicura,nota 374
04/02/2021,desc 375,ARS,870,Gasto,Falso,Educación,universidad; postgrado,nota 375
13/06/2021,desc 376,USD,869,Gasto,Verdadero,Vehículo,mecanico,nota 376
23/04/2021,desc 377,ARS,833,Gasto,Falso,Transporte,sube,nota 377
12/05/2022,desc 378,ARS,430,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 378
17/06/2021,desc 379,ARS,220,Gasto,,Recreación,,nota 379
01/07/2022,desc 380,ARS,977,Gasto,Verdadero,Deporte,,nota 380
28/01/2020,desc 381,ARS,544,Gasto,Verdadero,Vivienda,reparaciones,nota 381
25/04/2021,desc 382,ARS,852,Gasto,Verdadero,Belleza,peluquero; manicura,nota 382
21/11/2021,desc 383,ARS,992,Gasto,Falso,Educación,universidad; postgrado,nota 383
18/08/2020,desc 384,USD,618,Gasto,Verdadero,Vehículo,mecanico,nota 384
26/11/2021,desc 385,ARS,256,Ingreso,Falso,Transporte,sube,nota 385
26/08/2022,desc 386,ARS,912,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 386
11/03/2021,desc 387,ARS,102,Gasto,Verdadero,Recreación,,nota 387
10/11/2021,desc 388,ARS,56,Gasto,Falso,Deporte,,nota 388
24/09/2020,desc 389,USD,331,Gasto,,Vivienda,reparaciones,nota 389
17/06/2022,desc 390,ARS,167,Gasto,Verdadero,Belleza,peluquero; manicura,nota 390
18/02/2022,desc 391,ARS,864,Gasto,Falso,Educación,universidad; postgrado,nota 391
17/10/2022,desc 392,ARS,537,Ingreso,Falso,Vehículo,mecanico,nota 392
18/03/2021,desc 393,ARS,456,Gasto,Verdadero,Transporte,sube,nota 393
16/02/2022,desc 394,ARS,960,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 394
25/11/2020,desc 395,ARS,539,Gasto,Verdadero,Recreación,,nota 395
24/07/2020,desc 396,ARS,120,Gasto,,Deporte,,nota 396
07/04/2021,desc 397,USD,518,Gasto,Falso,Vivienda,reparaciones,nota 397
03/09/2022,desc 398,ARS,607,Gasto,Verdadero,Belleza,peluquero; manicura,nota 398
01/09/2022,desc 399,ARS,154,Ingreso,,Educación,universidad; postgrado,nota 399
09/04/2022,desc 400,ARS,773,Gasto,Falso,Vehículo,mecanico,nota 400
16/04/2020,desc 401,ARS,948,Gasto,Verdadero,Transporte,sube,nota 401
14/03/2022,desc 402,USD,974,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 402
04/02/2020,desc 403,ARS,578,Gasto,,Recreación,,nota 403
24/11/2020,desc 404,ARS,515,Gasto,Verdadero,Deporte,,nota 404
13/01/2022,desc 405,ARS,752,Gasto,Falso,Vivienda,reparaciones,nota 405
13/04/2022,desc 406,ARS,290,Ingreso,,Belleza,peluquero; manicura,nota 406
07/11/2020,desc 407,ARS,453,Gasto,Verdadero,Educación,universidad; postgrado,nota 407
08/05/2022,desc 408,ARS,40,Gasto,Falso,Vehículo,mecanico,nota 408
10/01/2020,desc 409,ARS,533,Gasto,Falso,Transporte,sube,nota 409
20/03/2022,desc 410,USD,799,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 410
10/08/2022,desc 411,ARS,491,Gasto,Falso,Recreación,,nota 411
13/01/2021,desc 412,ARS,315,Gasto,Verdadero,Deporte,,nota 412
28/05/2020,desc 413,ARS,759,Ingreso,,Vivienda,reparaciones,nota 413
01/08/2021,desc 414,ARS,570,Gasto,Verdadero,Belleza,peluquero; manicura,nota 414
11/03/2020,desc 415,USD,787,Gasto,Verdadero,Educación,universidad; postgrado,nota 415
02/04/2021,desc 416,ARS,344,Gasto,Verdadero,Vehículo,mecanico,nota 416
13/05/2022,desc 417,ARS,189,Gasto,Falso,Transporte,sube,nota 417
09/07/2020,desc 418,ARS,613,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 418
15/02/2021,desc 419,ARS,286,Gasto,Falso,Recreación,,nota 419
22/05/2021,desc 420,ARS,431,Ingreso,,Deporte,,nota 420
21/08/2022,desc 421,ARS,857,Gasto,Verdadero,Vivienda,reparaciones,nota 421
13/10/2022,desc 422,ARS,243,Gasto,Falso,Belleza,peluquero; manicura,nota 422
17/08/2021,desc 423,USD,259,Gasto,,Educación,universidad; postgrado,nota 423
21/09/2021,desc 424,ARS,21,Gasto,Verdadero,Vehículo,mecanico,nota 424
02/03/2022,desc 425,ARS,245,Gasto,Falso,Transporte,sube,nota 425
26/04/2022,desc 426,ARS,502,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 426
19/11/2020,desc 427,ARS,651,Ingreso,Verdadero,Recreación,,nota 427
05/09/2022,desc 428,USD,410,Gasto,Falso,Deporte,,nota 428
15/11/2020,desc 429,ARS,340,Gasto,Verdadero,Vivienda,reparaciones,nota 429
02/06/2021,desc 430,ARS,331,Gasto,,Belleza,peluquero; manicura,nota 430
26/06/2020,desc 431,ARS,494,Gasto,Falso,Educación,universidad; postgrado,nota 431
24/10/2020,desc 432,ARS,414,Gasto,Verdadero,Vehículo,mecanico,nota 432
15/05/2021,desc 433,ARS,48,Gasto,,Transporte,sube,nota 433
27/02/2020,desc 434,ARS,89,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 434
04/03/2022,desc 435,ARS,118,Gasto,Verdadero,Recreación,,nota 435
07/01/2020,desc 436,USD,373,Gasto,Falso,Deporte,,nota 436
08/09/2020,desc 437,ARS,56,Gasto,,Vivienda,reparaciones,nota 437
05/07/2020,desc 438,ARS,971,Gasto,Verdadero,Belleza,peluquero; manicura,nota 438
14/11/2020,desc 439,ARS,783,Gasto,Falso,Educación,universidad; postgrado,nota 439
11/01/2022,desc 440,ARS,731,Gasto,,Vehículo,mecanico,nota 440
15/09/2021,desc 441,USD,605,Ingreso,Verdadero,Transporte,sube,nota 441
09/05/2020,desc 442,ARS,861,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 442
17/08/2021,desc 443,ARS,480,Gasto,Falso,Recreación,,nota 443
18/07/2021,desc 444,ARS,760,Gasto,Verdadero,Deporte,,nota 444
27/10/2021,desc 445,ARS,787,Gasto,Falso,Vivienda,reparaciones,nota 445
03/11/2022,desc 446,ARS,142,Gasto,Verdadero,Belleza,peluquero; manicura,nota 446
15/03/2020,desc 447,ARS,87,Gasto,,Educación,universidad; postgrado,nota 447
03/12/2020,desc 448,ARS,931,Ingreso,Verdadero,Vehículo,mecanico,nota 448
10/12/2022,desc 449,USD,920,Gasto,Verdadero,Transporte,sube,nota 449
21/10/2022,desc 450,ARS,55,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 450
15/04/2022,desc 451,ARS,746,Gasto,Falso,Recreación,,nota 451
19/08/2020,desc 452,ARS,855,Gasto,Verdadero,Deporte,,nota 452
11/05/2020,desc 453,ARS,286,Gasto,Falso,Vivienda,reparaciones,nota 453
27/11/2020,desc 454,USD,245,Gasto,,Belleza,peluquero; manicura,nota 454
25/12/2021,desc 455,ARS,334,Ingreso,Verdadero,Educación,universidad; postgrado,nota 455
16/01/2020,desc 456,ARS,672,Gasto,Falso,Vehículo,mecanico,nota 456
18/06/2022,desc 457,ARS,996,Gasto,,Transporte,sube,nota 457
20/03/2022,desc 458,ARS,245,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 458
27/05/2021,desc 459,ARS,172,Gasto,Falso,Recreación,,nota 459
09/03/2022,desc 460,ARS,260,Gasto,Falso,Deporte,,nota 460
18/06/2022,desc 461,ARS,52,Gasto,Verdadero,Vivienda,reparaciones,nota 461
21/06/2022,desc 462,USD,792,Ingreso,Falso,Belleza,peluquero; manicura,nota 462
02/01/2021,desc 463,ARS,630,Gasto,Verdadero,Educación,universidad; postgrado,nota 463
12/12/2020,desc 464,ARS,673,Gasto,,Vehículo,mecanico,nota 464
28/11/2021,desc 465,ARS,726,Gasto,Falso,Transporte,sube,nota 465
21/10/2020,desc 466,ARS,7,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 466
15/02/2022,desc 467,USD,154,Gasto,,Recreación,,nota 467
17/09/2022,desc 468,ARS,762,Gasto,Falso,Deporte,,nota 468
06/12/2022,desc 469,ARS,209,Ingreso,Verdadero,Vivienda,reparaciones,nota 469
28/08/2022,desc 470,ARS,702,Gasto,Falso,Belleza,peluquero; manicura,nota 470
01/04/2020,desc 471,ARS,333,Gasto,,Educación,universidad; postgrado,nota 471
12/07/2022,desc 472,ARS,17,Gasto,Verdadero,Vehículo,mecanico,nota 472
12/01/2020,desc 473,ARS,151,Gasto,Falso,Transporte,sube,nota 473
12/12/2020,desc 474,ARS,280,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 474
09/12/2022,desc 475,USD,9,Gasto,Verdadero,Recreación,,nota 475
19/09/2021,desc 476,ARS,296,Ingreso,Falso,Deporte,,nota 476
15/01/2020,desc 477,ARS,65,Gasto,Falso,Vivienda,reparaciones,nota 477
14/12/2021,desc 478,ARS,955,Gasto,Verdadero,Belleza,peluquero; manicura,nota 478
10/06/2022,desc 479,ARS,124,Gasto,Falso,Educación,universidad; postgrado,nota 479
02/08/2021,desc 480,USD,251,Gasto,Verdadero,Vehículo,mecanico,nota 480
15/08/2022,desc 481,ARS,799,Gasto,,Transporte,sube,nota 481
19/08/2020,desc 482,ARS,322,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 482
28/07/2020,desc 483,ARS,939,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 483
04/03/2021,desc 484,ARS,937,Gasto,,Recreación,,nota 484
14/07/2021,desc 485,ARS,227,Gasto,Verdadero,Deporte,,nota 485
10/09/2022,desc 486,ARS,620,Ingreso,Verdadero,Vivienda,reparaciones,nota 486
13/06/2021,desc 487,USD,495,Gasto,Verdadero,Belleza,peluquero; manicura,nota 487
08/01/2020,desc 488,ARS,317,Gasto,Falso,Educación,universidad; postgrado,nota 488
26/04/2022,desc 489,ARS,79,Gasto,Verdadero,Vehículo,mecanico,nota 489
20/09/2021,desc 490,ARS,373,Gasto,Falso,Transporte,sube,nota 490
17/04/2022,desc 491,ARS,713,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 491
19/06/2022,desc 492,ARS,103,Gasto,Verdadero,Recreación,,nota 492
23/07/2022,desc 493,ARS,338,Ingreso,Falso,Deporte,,nota 493
11/11/2022,desc 494,ARS,502,Gasto,,Vivienda,reparaciones,nota 494
26/10/2022,desc 495,USD,317,Gasto,Verdadero,Belleza,peluquero; manicura,nota 495
10/01/2020,desc 496,ARS,650,Gasto,Falso,Educación,universidad; postgrado,nota 496
16/01/2020,desc 497,ARS,966,Gasto,Falso,Vehículo,mecanico,nota 497
05/09/2022,desc 498,ARS,403,Gasto,Verdadero,Transporte,sube,nota 498
10/01/2021,desc 499,ARS,846,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 499
12/08/2022,desc 500,USD,437,Ingreso,Verdadero,Recreación,,nota 500
14/07/2021,desc 501,ARS,812,Gasto,,Deporte,,nota 501
07/02/2020,desc 502,ARS,910,Gasto,Falso,Vivienda,reparaciones,nota 502
02/03/2021,desc 503,ARS,391,Gasto,Verdadero,Belleza,peluquero; manicura,nota 503
24/12/2021,desc 504,ARS,999,Gasto,,Educación,universidad; postgrado,nota 504
09/09/2021,desc 505,ARS,424,Gasto,Falso,Vehículo,mecanico,nota 505
06/04/2020,desc 506,ARS,594,Gasto,Verdadero,Transporte,sube,nota 506
14/02/2022,desc 507,ARS,312,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 507
03/11/2020,desc 508,USD,29,Gasto,,Recreación,,nota 508
03/08/2022,desc 509,ARS,145,Gasto,Verdadero,Deporte,,nota 509
24/10/2021,desc 510,ARS,303,Gasto,Falso,Vivienda,reparaciones,nota 510
13/06/2021,desc 511,ARS,144,Gasto,,Belleza,peluquero; manicura,nota 511
05/08/2022,desc 512,ARS,797,Gasto,Verdadero,Educación,universidad; postgrado,nota 512
16/06/2021,desc 513,USD,320,Gasto,Falso,Vehículo,mecanico,nota 513
03/12/2021,desc 514,ARS,410,Ingreso,Falso,Transporte,sube,nota 514
13/04/2021,desc 515,ARS,77,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 515
20/03/2022,desc 516,ARS,940,Gasto,Falso,Recreación,,nota 516
02/02/2022,desc 517,ARS,656,Gasto,Verdadero,Deporte,,nota 517
01/02/2022,desc 518,ARS,827,Gasto,,Vivienda,reparaciones,nota 518
01/04/2020,desc 519,ARS,890,Gasto,Verdadero,Belleza,peluquero; manicura,nota 519
22/04/2021,desc 520,ARS,138,Gasto,Verdadero,Educación,universidad; postgrado,nota 520
09/02/2021,desc 521,USD,772,Ingreso,Verdadero,Vehículo,mecanico,nota 521
10/11/2021,desc 522,ARS,399,Gasto,Falso,Transporte,sube,nota 522
21/12/2022,desc 523,ARS,997,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 523
09/05/2020,desc 524,ARS,214,Gasto,Falso,Recreación,,nota 524
07/07/2020,desc 525,ARS,764,Gasto,,Deporte,,nota 525
18/04/2021,desc 526,USD,979,Gasto,Verdadero,Vivienda,reparaciones,nota 526
25/03/2022,desc 527,ARS,295,Gasto,Falso,Belleza,peluquero; manicura,nota 527
05/08/2020,desc 528,ARS,676,Ingreso,,Educación,universidad; postgrado,nota 528
11/04/2020,desc 529,ARS,181,Gasto,Verdadero,Vehículo,mecanico,nota 529
27/03/2022,desc 530,ARS,103,Gasto,Falso,Transporte,sube,nota 530
16/04/2022,desc 531,ARS,839,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 531
13/07/2022,desc 532,ARS,814,Gasto,Verdadero,Recreación,,nota 532
03/01/2022,desc 533,ARS,132,Gasto,Falso,Deporte,,nota 533
15/12/2022,desc 534,USD,915,Gasto,Verdadero,Vivienda,reparaciones,nota 534
22/02/2022,desc 535,ARS,980,Ingreso,,Belleza,peluquero; manicura,nota 535
16/01/2021,desc 536,ARS,26,Gasto,Falso,Educación,universidad; postgrado,nota 536
16/02/2021,desc 537,ARS,397,Gasto,Verdadero,Vehículo,mecanico,nota 537
12/08/2020,desc 538,ARS,701,Gasto,,Transporte,sube,nota 538
05/12/2020,desc 539,USD,496,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 539
16/12/2021,desc 540,ARS,181,Gasto,Verdadero,Recreación,,nota 540
17/08/2021,desc 541,ARS,290,Gasto,Falso,Deporte,,nota 541
08/05/2021,desc 542,ARS,150,Ingreso,,Vivienda,reparaciones,nota 542
08/02/2022,desc 543,ARS,409,Gasto,Verdadero,Belleza,peluquero; manicura,nota 543
05/04/2022,desc 544,ARS,465,Gasto,Falso,Educación,universidad; postgrado,nota 544
08/03/2022,desc 545,ARS,754,Gasto,,Vehículo,mecanico,nota 545
12/09/2020,desc 546,ARS,269,Gasto,Verdadero,Transporte,sube,nota 546
01/09/2022,desc 547,USD,652,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 547
02/12/2020,desc 548,ARS,351,Gasto,Falso,Recreación,,nota 548
16/07/2022,desc 549,ARS,579,Ingreso,Verdadero,Deporte,,nota 549
01/12/2021,desc 550,ARS,662,Gasto,Falso,Vivienda,reparaciones,nota 550
26/05/2021,desc 551,ARS,467,Gasto,Verdadero,Belleza,peluquero; manicura,nota 551
07/12/2022,desc 552,USD,17,Gasto,,Educación,universidad; postgrado,nota 552
06/08/2021,desc 553,ARS,949,Gasto,Verdadero,Vehículo,mecanico,nota 553
19/11/2021,desc 554,ARS,787,Gasto,Verdadero,Transporte,sube,nota 554
25/06/2021,desc 555,ARS,444,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 555
25/04/2021,desc 556,ARS,829,Ingreso,Falso,Recreación,,nota 556
24/12/2020,desc 557,ARS,508,Gasto,Verdadero,Deporte,,nota 557
18/12/2022,desc 558,ARS,638,Gasto,Falso,Vivienda,reparaciones,nota 558
16/04/2020,desc 559,ARS,405,Gasto,,Belleza,peluquero; manicura,nota 559
08/06/2020,desc 560,USD,221,Gasto,Verdadero,Educación,universidad; postgrado,nota 560
05/09/2022,desc 561,ARS,972,Gasto,Falso,Vehículo,mecanico,nota 561
03/01/2021,desc 562,ARS,257,Gasto,,Transporte,sube,nota 562
22/02/2021,desc 563,ARS,912,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 563
16/01/2021,desc 564,ARS,654,Gasto,Falso,Recreación,,nota 564
03/02/2022,desc 565,USD,893,Gasto,Falso,Deporte,,nota 565
11/03/2020,desc 566,ARS,387,Gasto,Verdadero,Vivienda,reparaciones,nota 566
05/10/2020,desc 567,ARS,48,Gasto,Falso,Belleza,peluquero; manicura,nota 567
22/06/2022,desc 568,ARS,163,Gasto,Verdadero,Educación,universidad; postgrado,nota 568
25/04/2021,desc 569,ARS,583,Gasto,,Vehículo,mecanico,nota 569
09/02/2021,desc 570,ARS,590,Ingreso,Falso,Transporte,sube,nota 570
21/11/2021,desc 571,ARS,256,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 571
18/01/2021,desc 572,ARS,347,Gasto,,Recreación,,nota 572
15/07/2021,desc 573,USD,337,Gasto,Falso,Deporte,,nota 573
23/09/2021,desc 574,ARS,151,Gasto,Verdadero,Vivienda,reparaciones,nota 574
18/08/2021,desc 575,ARS,432,Gasto,Falso,Belleza,peluquero; manicura,nota 575
04/07/2022,desc 576,ARS,587,Gasto,,Educación,universidad; postgrado,nota 576
16/10/2020,desc 577,ARS,35,Ingreso,Verdadero,Vehículo,mecanico,nota 577
08/03/2020,desc 578,USD,105,Gasto,Falso,Transporte,sube,nota 578
05/01/2020,desc 579,ARS,205,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 579
27/02/2021,desc 580,ARS,691,Gasto,Verdadero,Recreación,,nota 580
23/12/2021,desc 581,ARS,946,Gasto,Falso,Deporte,,nota 581
11/04/2022,desc 582,ARS,842,Gasto,Falso,Vivienda,reparaciones,nota 582
